IMF,Max,Min,Mean,Std,PE,Freq
Raw,591.0,0.0,210.90949074074072,113.35760882874287,,
IMF1,175.43154353904762,-191.50611538551385,-2.0120609511387957,71.48050803952192,0.9971307538487987,High
IMF2,164.06421873422704,-145.90633067447868,-1.3722361808100934,52.19468742512486,0.8598532352693573,High
IMF3,99.09203608828955,-111.02653171256347,-0.009653439251431773,31.880912377096326,0.690987016337784,High
IMF4,49.77689455508397,-60.505687914263135,1.9710877292279645,24.302170228342156,0.5497811673640216,High
IMF5,48.78397643652205,-45.71695700181509,-1.705337727826795,21.260126982968796,0.48322059110065957,High
IMF6,18.099728042282795,-19.719415239030283,-1.506321737051006,11.969182521707681,0.405534078502997,Low
IMF7,108.54611444565663,101.07295232319768,105.23059229220326,2.0517432470892687,0.3755739579129985,Low
IMF8,212.34660549167356,210.46860334362967,211.77209704558936,0.5736812885179582,0.37414737323575986,Low
IMF9,221.7235361709239,216.15464780198135,219.04901958251787,1.6967785235080515,-0.0,Low
Residual,-310.9716666733116,-330.95939001199275,-320.50769587271964,3.2072516257131656,0.9990451561582251,High
