IMF,Max,Min,Mean,Std,PE,Freq
Raw,506.0,0.0,160.85625,116.74887067346774,,
IMF1,203.41584606913048,-207.39074451327204,-6.360749757618788,77.13497756685047,0.9974706968186233,High
IMF2,144.94195176654216,-133.2583379143705,0.41684791248763936,50.76116368423336,0.8506261364830644,High
IMF3,92.38640498810769,-106.97489151436221,-0.6939867567323288,35.79689279076722,0.6788669669834465,High
IMF4,81.61374234241681,-99.8433824866379,0.12086796832357255,30.140103093988138,0.5310279387395818,High
IMF5,23.975224475527263,-36.39879972227707,-0.059864099920951847,14.80807372022575,0.4506892631617162,Low
IMF6,23.984276078176027,-24.025217419726978,1.3859029209286007,11.899604595533862,0.4303085624701593,Low
IMF7,84.11634224080419,52.119449304384055,68.49180871233281,10.386102554403713,0.4032324255892474,Low
IMF8,175.14507042034285,163.94080330883986,170.46684588690093,3.5421690221517164,-0.0,Low
Residual,-63.789873881382675,-81.39272982890037,-72.91142278670148,2.9794841296785464,0.996372343722138,High
