IMF,Max,Min,Mean,Std,PE,Freq
Raw,607.0,0.0,113.80092592592592,83.78463020388597,,
IMF1,187.9206937793744,-191.313014941685,-1.67561219123177,37.65706356366504,0.9980367694347618,High
IMF2,131.94929969776865,-121.08144043098088,2.0817148186839054,46.47011029606168,0.8001720272954662,High
IMF3,134.39290069203594,-106.55819330829807,-0.9478104155030517,26.134378656801484,0.6924503768334211,High
IMF4,88.61246858504785,-103.89286644973714,-2.6237224885960924,25.146227942927112,0.5187384987634627,High
IMF5,39.07061680379597,-28.329163424504518,0.9979367527259889,13.002149506248276,0.46142840933713336,Low
IMF6,42.481223150069184,-18.844068242262622,7.584171214931692,14.816617426123091,0.4220673650484661,Low
IMF7,123.37543718599316,90.92389040369585,105.98148047388686,10.567665134071209,-0.0,Low
IMF8,122.54723369612324,103.9719205899179,112.93116405571865,5.939367014685074,-0.0,Low
Residual,-96.65944953557616,-125.74825465134123,-110.52839629469027,6.639297101063472,0.9995564915605873,High
