IMF,Max,Min,Mean,Std,PE,Freq
Raw,1071.1,0.0,273.9064814814815,163.5503920662602,,
IMF1,344.82459958523157,-340.567336966553,-7.691643744226581,99.67838891837899,0.9987398950750455,High
IMF2,228.38013197349284,-210.31536126153134,1.1523919820549278,70.85278602928798,0.8654167931563018,High
IMF3,116.31366668268988,-111.43358486391044,-0.5964561075001461,41.4114989859581,0.6790260078652397,High
IMF4,146.82921981857507,-114.58832178240101,0.12418799103568093,36.16793136020474,0.5503971850150442,High
IMF5,86.55641906553113,-48.990618062509405,2.2487110451542076,26.720504968508333,0.4648684906015303,Low
IMF6,40.51981445023459,-25.926565161640518,2.790471165721356,14.924276794727538,0.42065732121808325,Low
IMF7,188.71097411784908,142.3920640521614,154.77565295984385,13.770632873170616,0.40289264878921277,Low
IMF8,299.86383722263344,259.9350508373614,275.7208968417123,12.727859402906835,-0.0,Low
Residual,-129.87392445363082,-181.98812029333254,-154.61773065231412,9.05879385755073,0.9984341242347647,High
