IMF,Max,Min,Mean,Std,PE,Freq
Raw,508.2,0.0,158.54166666666666,100.6885320486455,,
IMF1,161.8855803173074,-152.7088451363794,-4.027329555659928,53.88856061768792,0.9996414255351117,High
IMF2,131.7761288333601,-129.44816680474378,1.4086272309354342,50.781783151277935,0.8415516384067165,High
IMF3,113.60229611898187,-110.87137745995062,-0.4423439770032788,35.82239764495355,0.692186213022605,High
IMF4,38.08563398234433,-38.082768194575884,-0.6001985613795853,17.093172201041558,0.5360680077029554,High
IMF5,19.138125073808872,-19.583166804530794,-0.22421669634351526,9.794018633765239,0.4721538858077609,Low
IMF6,13.97389793619027,-16.806887760997867,-2.0136861714242054,9.050788935881647,0.42585773680206607,Low
IMF7,138.2028203557141,100.64517617786811,123.20538790822921,14.469802497767482,0.37734969584912337,Low
IMF8,182.11099825814105,149.081400672142,165.43552609479536,10.499850670024486,-0.0,Low
Residual,-106.5371988265627,-142.65993969652075,-124.2000996054828,8.434358319066497,0.998457148253194,High
