IMF,Max,Min,Mean,Std,PE,Freq
Raw,328.0,0.0,88.79469696969696,70.89078238694665,,
IMF1,88.65814074185205,-97.27089553678893,-1.8458014181105562,33.40559785859377,0.9997051810338251,High
IMF2,95.91816705617579,-108.88712798768975,2.0199631948502126,38.68739060028489,0.8289137410988335,High
IMF3,62.52855861721013,-57.87448272803654,-0.7382265611789509,23.543535811881192,0.6829609229871482,High
IMF4,26.49701021200516,-29.38579541803553,0.41640905533113887,12.782102926695755,0.5312343402359995,High
IMF5,31.168194468834045,-31.878535242891413,-0.024575156647341518,15.504169619463699,0.4522795394950047,Low
IMF6,22.325221060333256,-7.457002226455968,9.322199686816436,9.360411027391342,0.3989995878193898,Low
IMF7,105.00862318142114,74.0454699738002,90.71017810602511,11.494788035909517,0.14765063821515242,Low
IMF8,87.70332879587133,74.21391130998329,83.11134480677394,4.37061547523455,0.26409583281789817,Low
Residual,-80.47142225340909,-105.75976067001227,-94.17679474416299,6.010847464036218,0.998219929154186,High
