IMF,Max,Min,Mean,Std,PE,Freq
Raw,573.1,0.0,226.4560185185185,117.28833224342523,,
IMF1,166.82991009460955,-158.960076166659,-1.4404390081769325,63.5589580257031,0.9965288194101529,High
IMF2,143.43446134300063,-159.75222080373783,3.12685985931521,61.525290698596784,0.8647542766823187,High
IMF3,95.72980737110525,-108.59856346965573,-0.3964208393759851,44.779751406588375,0.6918941167399778,High
IMF4,43.67193210600503,-45.16347127351703,-0.21419916924878385,15.5382233123122,0.5630149660920498,High
IMF5,23.628016879236192,-20.638364745561056,0.3076521398546412,10.779404060342536,0.4656191304710705,Low
IMF6,11.730222186433684,-12.818865957763386,0.0881216048571021,7.159638193004974,0.43278701819999027,Low
IMF7,92.3074181512749,82.836647830756,87.32521513619368,3.119516033779516,0.40983215753748214,Low
IMF8,229.10866725430805,223.72386631093931,226.18996318090728,1.7698438284902775,-0.0,Low
Residual,-79.99861319026658,-98.27165526583656,-88.53073438580769,2.997406899993178,0.9966706068776922,High
