IMF,Max,Min,Mean,Std,PE,Freq
Raw,707.2,0.0,211.05671296296296,117.91389003927989,,
IMF1,227.91856973203804,-198.99913026076135,-6.186534625559086,78.17072280333376,0.9993338374149713,High
IMF2,189.90129989858295,-179.21623275157683,0.1392683544919612,56.80121208608885,0.8589753214592599,High
IMF3,73.07761714705765,-81.53278588964903,0.2795650791428204,24.933755680217683,0.6708348146123212,High
IMF4,35.31926092480114,-42.94286359733314,0.6516457482410003,15.68093175307713,0.5479294051199861,High
IMF5,35.24673818076195,-32.32513057931393,-0.5423373847594327,15.897524764596332,0.46606737876940313,Low
IMF6,26.893644788288533,-20.83383342853886,4.556479291571709,11.472530437482092,0.4093483560365207,Low
IMF7,175.98465021682526,152.04617762859482,164.78980620139913,8.57480559147349,0.3941072927111091,Low
IMF8,224.05180655739733,206.19892516299475,217.43901085646118,5.9808749438619,0.20429889893418163,Low
Residual,-155.1888287263614,-185.2467093466774,-170.0701905580263,6.043338937083092,0.9982238279452142,High
