IMF,Max,Min,Mean,Std,PE,Freq
Raw,341.1,0.0,109.4150462962963,66.64056211482117,,
IMF1,113.11127151521578,-103.07572991543029,-4.349416011794273,42.2766280437139,0.9952111763269438,High
IMF2,82.9406571548579,-87.09008782415239,0.8022481589668025,33.261131748839915,0.868402222822961,High
IMF3,53.46084178275309,-60.82039490318517,0.06705141692328319,22.85712384118037,0.6876068284727975,High
IMF4,34.909580548844424,-30.75574171630349,0.9294363440810807,10.978780545888062,0.5590622512746989,High
IMF5,10.414677916590541,-18.774049450892846,0.1828775302752811,4.40347845623564,0.4734950433972082,High
IMF6,10.544229182794284,-11.891442346049237,0.3109475136106761,5.045519348936682,0.4108020697200028,Low
IMF7,49.774763111481434,39.886566351366916,45.72103792529052,2.756962262964924,0.3936225933587475,Low
IMF8,109.85945560557496,107.45970038418403,109.25217414430124,0.7401455677719115,0.35269516067540063,Low
IMF9,111.70861807965898,108.68781241721149,110.28386766508612,0.9286300770026065,-0.0,Low
Residual,-147.5983145990594,-159.41021881699993,-153.78517839044446,2.076558520842566,0.9995524899317689,High
