Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,120.4849554586734,138.4548283965612,170.25686107233523,185.34590758244534,172.62631590694497,139.34563457120265,100.56579528664918,67.652999574218,39.66232426849551,20.135977415615713,15.713465342389071
2026,34.29194871163236,71.54581300166407,114.57736339530375,143.1396602703191,147.14390362323462,133.24057600332932,110.57088183980683,82.27540752610075,48.90600856176265,15.072876193970117,-8.656477461697406,-10.889600942145691
2027,13.459021418943337,58.19538577449744,105.05155232330391,133.85608941002255,138.89293916123626,129.04844725264184,112.17746076324346,89.40130206984931,59.544470129532215,27.904188875016942,7.0156538164916356,8.896225777045373
Promedio histórico,21.49047619047619,37.90243902439025,74.47073170731707,138.71219512195123,173.10731707317072,168.70487804878047,165.29000000000002,158.23414634146343,138.0268292682927,155.60731707317072,87.56341463414634,29.770731707317072
