Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,150.88557168840853,164.93514194458763,212.05774089741146,220.23104368751868,235.48604477654146,236.38538488953247,228.90607419152943,234.77457583052944,245.8608534461771,204.74586437402485,180.1599091224527
2026,151.94937834671805,165.4199499994732,189.7793234543036,219.24646487390214,235.9107295804651,251.4744522379795,263.7586163063391,276.770739351559,273.211059657444,258.970953822039,222.28398410046495,192.6471048517571
2027,172.10482889717957,179.07185605966325,195.26572839780462,219.30650038152226,232.15004009024616,243.20071737553846,250.51173824550762,262.80253932346625,263.91199390091197,251.96794659651673,220.1365591358599,190.1408052779649
Promedio histórico,35.66842105263158,63.46,135.71219512195123,204.3170731707317,242.52195121951218,208.46097560975608,204.11219512195123,217.95,222.04634146341462,235.890243902439,145.2390243902439,47.49487179487179
