Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,198.54106691338228,133.43265105620975,116.76416934346699,74.92170676453716,61.83532541864008,85.75602210466258,75.69874200770641,65.78871153600765,58.114540695941145,53.02994033272351,49.40923975150126
2026,54.930582738869504,61.84488379648596,69.12592633545395,72.47034991084539,72.40822392077254,71.84184980310734,71.21723226396078,71.86776620644982,73.49222614160949,75.56998353403786,78.03664806127136,81.55514449264508
2027,86.31528616151772,91.80407105334281,96.61454725483553,99.37274316442497,99.59122776767242,97.78887045688147,95.07311571324395,92.42086819919665,90.3442235845349,88.96634195827403,88.26797431560233,88.17866591207054
Promedio histórico,17.583333333333332,28.828125,73.67941176470588,120.71212121212122,162.70000000000002,129.80857142857144,137.81714285714287,151.75454545454545,125.44285714285714,139.74411764705883,84.26285714285714,34.14857142857143
