Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,117.29295913070885,144.68123050880507,168.64228576538756,170.62597393481957,148.75151839361726,125.64139899375205,147.64752859556336,153.8027898662382,187.87665368230068,181.1475328606424,164.47896578829287
2026,162.0660584402616,180.2548781161861,218.9549944138812,245.98180656190493,242.64281877615372,221.77689692112259,200.5067230876653,190.01307698507918,205.16661444078886,215.58694939798158,201.67695155052854,178.92173945155946
2027,158.12552401248757,155.47330998058231,176.96953795183458,196.6293041820266,191.7341751567667,173.86312995646182,153.69927351870103,148.4288219632366,167.4837260329078,189.73292425119683,190.56390492160497,178.6036560723456
Promedio histórico,70.495,95.68205128205128,164.96842105263158,188.39736842105265,161.8864864864865,90.52105263157895,90.99166666666666,98.22702702702703,123.91111111111111,182.13055555555556,149.86216216216215,85.8076923076923
