Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,173.64555494011483,122.23844422790958,104.37622291856596,121.46919829308703,118.8297825103746,88.69758451358871,42.424442028673894,90.11465978538064,77.97967734058909,64.72996528655341,62.503422613521764
2026,56.662484838553866,21.18691049308603,81.41850117601808,132.51573785019764,81.35019294134432,96.84335711666006,84.13189762738978,55.681155520052215,20.322843413281333,69.30544030103763,69.88139693279194,60.680531986640204
2027,91.18316704890881,35.08780317026407,99.86840367115545,126.53624628701041,128.56188012462084,102.05915625458479,84.34750717412078,113.67529789821415,79.40810108822006,76.07175157294762,69.51189302195723,77.6373613233516
Promedio histórico,25.51904761904762,55.285000000000004,102.23421052631579,156.1525,152.1325,117.2825,115.455,127.0051282051282,144.33414634146342,175.94,113.21842105263158,38.757894736842104
