Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,338.8715284000895,329.39479587057684,263.4678962226628,232.41598211773453,224.1348793930909,197.848330938414,158.80379729154402,151.9088394504281,166.3521526942032,141.5009774143249,173.2207110252624
2026,219.277973033713,264.68704414709606,287.76869887863035,286.93036869395667,272.78412752171243,258.69715658256126,245.73235915523117,232.72912788203803,217.53721168641056,204.48704194376273,207.75597217332506,230.03319448880285
2027,264.6737628862112,297.30131929552954,315.3564102446128,315.47210981203216,304.42819594285646,291.0086495300933,277.85247852015635,261.81926464069295,242.3925304885919,225.99915421388755,220.30930686909016,227.58402078989292
Promedio histórico,66.10952380952381,108.18048780487804,188.21951219512195,303.21219512195125,350.51951219512193,265.05853658536586,250.44146341463414,280.13658536585365,283.02926829268296,308.96153846153845,238.78717948717951,112.65789473684211
