Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,268.0707283893752,354.99069900071254,392.472865467599,369.5570321666971,379.8947569458934,294.91372913601253,362.02159298623303,196.80569788159752,279.2939815888593,302.67835628603484,322.0898008922569
2026,317.07175875905233,329.74551322842757,341.4584325705707,350.76023496373057,377.0123223185145,371.01886346232766,403.8028415500773,309.1430089579619,291.71400402471704,297.87768576544704,324.80988114663785,333.00989749400094
2027,319.9750341331179,290.4070782565776,276.4527052984366,290.195346320407,320.5383201813994,377.28515988022815,329.3695144987815,296.8853171893752,289.7468307436186,315.4402216427901,371.47361208685504,399.35502878268494
Promedio histórico,213.72926829268292,275.04102564102567,379.5536585365854,382.5560975609756,305.0243902439024,158.055,126.13250000000001,151.46829268292683,227.0121951219512,391.0829268292683,434.8,281.225641025641
