Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,148.40987016197542,169.1797182712126,151.19299615510886,300.9824013810536,173.81607644894882,156.47260364335844,124.32914412745848,138.24699027246416,267.8616921180617,205.78236752987712,125.92697537784215
2026,135.97098433237701,144.738665311976,121.61688626521814,258.3502301463531,188.2313015294313,188.28594218511822,129.92463420111713,97.56819402042038,179.0398870570817,210.03298063738745,168.49173037211816,141.40837075459046
2027,162.35245568226776,118.21987854106007,213.7944817199968,191.19721766377074,214.7317504611447,178.38015034633642,163.28819679585132,162.04774158706178,218.65168882321927,216.17259469980098,178.2585503363506,186.2563127959706
Promedio histórico,103.81428571428572,147.26341463414636,221.4925,311.9375,281.05,167.225,130.83414634146342,167.92926829268293,213.60487804878048,334.0073170731707,285.88048780487804,171.02439024390245
