Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,108.44698193934852,148.18167871916893,182.39295590995908,225.20747545734844,198.54136758408657,100.27853278971828,99.74786307009822,151.48764247902167,228.42590304503221,236.9248214192786,200.57474068491155
2026,122.10304417492513,88.20969285212115,111.2290644182441,177.6691718659743,220.80207661459775,181.5594320053648,111.58542804202303,96.04181774461968,130.6395212908296,201.36951725865427,238.63124260948473,199.97202964236106
2027,118.37289500687797,91.56503369121697,124.39451957794333,195.15706622910398,240.84554792904657,205.97167617710608,130.29140251963076,104.9530447945229,138.38515803901743,206.41278214363848,251.80055222283067,209.983443453669
Promedio histórico,117.7,160.07692307692307,254.3684210526316,267.5897435897436,195.12307692307692,84.075,57.333333333333336,79.39473684210526,143.56410256410257,278.36,256.36842105263156,139.25641025641025
