Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,,38.22413299466855,-21.720190562471572,153.8217749334277,439.6247785949343,199.2109295674076,-60.98322975676392,70.26077390149995,185.28542200029887,156.45390408223608,149.47513665716838,135.15795182920994
2026,179.08715418841132,223.33030070797105,263.73767047699624,240.360799426406,210.9103984066375,217.9714957953343,232.60391102048493,222.0932867936603,215.2546914478499,205.80184741970703,175.1980265351545,188.7963895031349
2027,227.30303711552278,246.08474902809894,256.3774107129116,242.34370789339494,212.30435561121698,217.10075851508924,245.3722102483162,252.46918871780673,264.6341307827939,267.2095515280195,241.8427706021203,238.54846180869043
Promedio histórico,102.9452380952381,160.98499999999999,238.52195121951218,304.5692307692308,289.11842105263156,167.06829268292682,162.0425,206.67948717948718,262.4,346.83947368421053,276.4578947368421,148.4275
